OrderID,OrderDate,Region,Category,Product,CustomerID,Quantity,UnitPrice,Revenue,Cost,Profit
ORD00019,23-10-2024,West,Clothing,T-Shirt,CUST0593,9,2306.16,20755.44,14116.93,6638.51
ORD00020,05-11-2023,South,Clothing,Formal Shirt,CUST1492,8,1232.16,9857.28,8483.42,1373.86
ORD00021,10-12-2023,East,Grocery,Soft Drink Pack,CUST0732,8,1408.74,11269.92,9365.32,1904.6
ORD00022,06-05-2024,International,Electronics,Tablet,CUST1621,3,9334.63,28003.89,16817.83,11186.06
ORD00023,18-02-2024,International,Clothing,Sneakers,CUST0505,5,2960.63,14803.15,12763.81,2039.34
ORD00024,21-01-2024,South,Clothing,Jeans,CUST0083,4,3978.96,15915.84,9925.81,5990.03
ORD00025,11-07-2023,International,Clothing,Sneakers,CUST0319,8,4775.27,38202.16,30431.06,7771.1
ORD00026,04-10-2023,Central,Electronics,Tablet,CUST1091,7,43419.02,303933.14,196171.34,107761.8
ORD00027,10-06-2023,East,Clothing,Jacket,CUST0414,7,947.71,6633.97,4104.32,2529.65
ORD00028,04-04-2024,South,Clothing,T-Shirt,CUST0453,10,898.34,8983.4,7437.64,1545.76
ORD00029,10-11-2023,East,Electronics,Laptop,CUST0746,10,45237.89,452378.9,334833.19,117545.71
ORD00030,22-01-2023,North,Grocery,Rice Bag,CUST0198,7,509.13,3563.91,2778.85,785.06
ORD00031,10-09-2023,East,Home & Kitchen,Bedsheet,CUST0259,1,4914.6,4914.6,3575.89,1338.71
ORD00032,14-07-2024,East,Clothing,Jacket,CUST1713,7,4894.79,34263.53,21248.58,13014.95
ORD00033,19-04-2024,North,Home & Kitchen,Cookware Set,CUST0298,4,8343.14,33372.56,27428.42,5944.14
ORD00034,28-02-2023,South,Grocery,Soft Drink Pack,CUST1304,3,1708.53,5125.59,4336.79,788.8
ORD00035,25-05-2024,East,Grocery,Cooking Oil,CUST0300,5,1735.46,8677.3,5314.21,3363.09
ORD00036,12-11-2024,West,Clothing,T-Shirt,CUST0129,2,3287.95,6575.9,4686.74,1889.16
ORD00037,20-04-2024,East,Electronics,Smartphone,CUST0498,8,45916.37,367330.96,281814.46,85516.5
ORD00038,30-11-2024,South,Grocery,Rice Bag,CUST1907,9,782.03,7038.27,5500.8,1537.47
ORD00039,09-07-2023,International,Home & Kitchen,Mixer Grinder,CUST0438,5,9985.71,49928.55,38617.03,11311.52
ORD00040,17-11-2024,North,Home & Kitchen,Bedsheet,CUST1716,3,3372.52,10117.56,8173.8,1943.76
ORD00041,16-07-2024,International,Home & Kitchen,Bedsheet,CUST1316,10,6228.07,62280.7,55432.62,6848.08
ORD00042,20-07-2024,South,Home & Kitchen,LED Lamp,CUST0207,7,3394.97,23764.79,17043.54,6721.25
ORD00043,01-09-2023,Central,Grocery,Cooking Oil,CUST0294,1,312.93,312.93,240.01,72.92
ORD00044,19-05-2024,International,Clothing,T-Shirt,CUST1964,10,3054.14,30541.4,24730.09,5811.31
ORD00045,11-05-2023,East,Clothing,Sneakers,CUST1874,3,2090.07,6270.21,4876.51,1393.7
ORD00046,29-04-2024,East,Home & Kitchen,LED Lamp,CUST1711,9,6165.62,55490.58,39732.66,15757.92
ORD00047,08-10-2024,North,Clothing,T-Shirt,CUST0029,2,3014.05,6028.1,4745.46,1282.64
ORD00048,21-01-2023,East,Home & Kitchen,Curtains,CUST0179,9,5788.76,52098.84,41420.32,10678.52
ORD00049,16-06-2023,West,Home & Kitchen,Mixer Grinder,CUST0041,1,1934.37,1934.37,1500.09,434.28
ORD00050,01-10-2023,West,Electronics,Tablet,CUST1494,4,29209.94,116839.76,77293.38,39546.38
ORD00051,23-01-2024,International,Grocery,Cooking Oil,CUST1216,10,1642.81,16428.1,12350.55,4077.55
ORD00052,23-08-2024,South,Grocery,Spices Pack,CUST0344,6,698.77,4192.62,3627.9,564.72
ORD00053,12-11-2023,North,Home & Kitchen,Bedsheet,CUST1773,7,4883.25,34182.75,29417.01,4765.74
ORD00054,14-01-2023,Central,Grocery,Spices Pack,CUST0816,3,1038.28,3114.84,2570.48,544.36
ORD00055,30-08-2023,International,Clothing,Jeans,CUST1997,9,4382.29,39440.61,31913.71,7526.9
ORD00056,12-12-2023,South,Home & Kitchen,Mixer Grinder,CUST0737,4,6831.52,27326.08,17652.2,9673.88
ORD00057,18-07-2024,North,Electronics,Smartphone,CUST0626,5,10511.14,52555.7,38777.67,13778.03
ORD00058,06-12-2023,North,Clothing,Jeans,CUST0278,8,4393.27,35146.16,22257.55,12888.61
ORD00059,02-04-2023,International,Electronics,Headphones,CUST1379,3,50763.63,152290.89,128714.03,23576.86
ORD00060,02-01-2024,South,Electronics,Smartphone,CUST0529,8,46450.53,371604.24,255408.41,116195.83
ORD00061,30-03-2024,South,Grocery,Soft Drink Pack,CUST0086,1,985.51,985.51,818.03,167.48
ORD00062,03-03-2024,East,Grocery,Packaged Snacks,CUST1925,8,1539.34,12314.72,10398.23,1916.49
ORD00063,23-05-2024,Central,Home & Kitchen,Curtains,CUST0317,10,5204.43,52044.3,45161.38,6882.92
ORD00064,04-02-2023,West,Grocery,Cooking Oil,CUST1881,8,1499.58,11996.64,9911.01,2085.63
ORD00065,25-07-2023,East,Electronics,Smartwatch,CUST1926,6,53406.06,320436.36,246549.73,73886.63
ORD00066,22-03-2023,North,Electronics,Headphones,CUST0693,5,53979.79,269898.95,210374.21,59524.74
ORD00067,15-07-2024,Central,Clothing,Jeans,CUST1361,9,2545.6,22910.4,15949.64,6960.76
ORD00068,23-01-2024,Central,Electronics,Headphones,CUST0863,6,52263.85,313583.1,204800.76,108782.34
ORD00069,02-01-2023,South,Home & Kitchen,Bedsheet,CUST1169,1,1733.41,1733.41,1107.98,625.43
ORD00070,25-01-2024,Central,Home & Kitchen,Cookware Set,CUST0315,6,1736.74,10420.44,6821.29,3599.15
ORD00071,19-07-2024,International,Grocery,Cooking Oil,CUST0225,1,1141.71,1141.71,1004.92,136.79
ORD00072,16-04-2023,Central,Grocery,Packaged Snacks,CUST1447,6,1338.5,8031,5214.77,2816.23
ORD00073,21-04-2024,North,Grocery,Spices Pack,CUST1078,3,390.69,1172.07,957.72,214.35
ORD00074,03-12-2024,International,Home & Kitchen,Cookware Set,CUST1918,6,5144.06,30864.36,20228.15,10636.21
ORD00075,06-02-2024,International,Electronics,Tablet,CUST1968,6,10189.95,61139.7,54572.5,6567.2
ORD00076,30-12-2024,East,Grocery,Soft Drink Pack,CUST1957,1,1243.99,1243.99,883.2,360.79
ORD00077,09-07-2024,Central,Clothing,Jeans,CUST1840,9,4347.92,39131.28,28317,10814.28
ORD00078,11-06-2023,South,Grocery,Rice Bag,CUST0068,8,1501.51,12012.08,8664.96,3347.12
ORD00079,21-07-2023,East,Home & Kitchen,Curtains,CUST1643,2,4280.28,8560.56,7233.14,1327.42
ORD00080,27-09-2023,South,Grocery,Cooking Oil,CUST1358,2,1988.21,3976.42,2646.26,1330.16
ORD00081,28-09-2023,Central,Electronics,Tablet,CUST1021,5,41461.42,207307.1,176067.46,31239.64
ORD00082,31-03-2024,East,Grocery,Soft Drink Pack,CUST1101,10,1648.97,16489.7,13144.23,3345.47
ORD00083,06-04-2024,Central,Home & Kitchen,Bedsheet,CUST1563,2,6961.22,13922.44,9273.52,4648.92
ORD00084,27-12-2024,North,Home & Kitchen,Mixer Grinder,CUST0856,1,9902.63,9902.63,6135.89,3766.74
ORD00085,09-09-2023,East,Clothing,Jeans,CUST1179,2,4196.12,8392.24,6986.52,1405.72
ORD00086,02-12-2024,South,Home & Kitchen,Mixer Grinder,CUST1096,5,5578.69,27893.45,18568.36,9325.09
ORD00087,23-10-2023,North,Clothing,Jacket,CUST1525,10,2150.96,21509.6,18642.8,2866.8
ORD00088,25-12-2024,West,Electronics,Smartwatch,CUST1471,7,42518.52,297629.64,190166.17,107463.47
ORD00089,20-12-2024,South,Home & Kitchen,Bedsheet,CUST1716,5,6230.04,31150.2,24450.08,6700.12
ORD00090,04-12-2023,Central,Grocery,Packaged Snacks,CUST1583,1,1295.77,1295.77,1046.53,249.24
ORD00091,22-02-2023,South,Electronics,Laptop,CUST1778,7,23865.65,167059.55,133198.37,33861.18
ORD00092,05-08-2023,West,Grocery,Spices Pack,CUST1383,6,914.58,5487.48,3812.75,1674.73
ORD00093,07-07-2023,South,Grocery,Cooking Oil,CUST1301,7,1160.38,8122.66,7007.07,1115.59
ORD00094,15-01-2024,North,Grocery,Soft Drink Pack,CUST0883,2,1694.64,3389.28,2816.29,572.99
ORD00095,07-05-2024,International,Electronics,Smartwatch,CUST1337,5,46959.99,234799.95,176818.9,57981.05
ORD00096,10-02-2023,South,Electronics,Smartwatch,CUST1129,8,11526.07,92208.56,72013.77,20194.79
ORD00097,06-06-2023,East,Home & Kitchen,Curtains,CUST0971,7,3059.1,21413.7,16486.65,4927.05
ORD00098,15-01-2023,West,Grocery,Soft Drink Pack,CUST1119,6,150.65,903.9,799.06,104.84
ORD00099,06-03-2023,South,Clothing,Jacket,CUST1243,6,535.82,3214.92,2793.52,421.4
ORD00100,04-06-2024,West,Home & Kitchen,Cookware Set,CUST1706,1,2864.25,2864.25,1920.91,943.34
ORD00101,10-12-2023,International,Electronics,Laptop,CUST1902,1,48962.65,48962.65,33237.21,15725.44
ORD00102,09-05-2023,North,Clothing,Formal Shirt,CUST1968,7,4571.36,31999.52,28621.38,3378.14
ORD00103,09-10-2024,East,Electronics,Tablet,CUST1819,3,26547.26,79641.78,53437.1,26204.68
ORD00104,16-04-2024,Central,Clothing,Jacket,CUST1152,6,3034.39,18206.34,16131.61,2074.73
ORD00105,04-03-2023,South,Home & Kitchen,LED Lamp,CUST0200,5,7295.68,36478.4,28997.63,7480.77
ORD00106,19-05-2023,North,Clothing,Sneakers,CUST1953,3,4788.22,14364.66,8834.74,5529.92
ORD00107,13-05-2024,West,Home & Kitchen,LED Lamp,CUST0332,6,9198.98,55193.88,38675.35,16518.53
ORD00108,15-08-2024,International,Electronics,Smartwatch,CUST0547,3,8145.58,24436.74,18152.74,6284
ORD00109,27-01-2024,West,Clothing,Jacket,CUST1890,8,1616.75,12934,10992.97,1941.03
ORD00110,05-11-2024,International,Grocery,Soft Drink Pack,CUST1680,7,193.37,1353.59,945.58,408.01
ORD00111,23-02-2024,International,Grocery,Soft Drink Pack,CUST1316,9,1271.43,11442.87,7931.89,3510.98
ORD00112,16-10-2023,North,Electronics,Tablet,CUST0066,5,44077.13,220385.65,193075.23,27310.42
ORD00113,14-01-2024,South,Clothing,Sneakers,CUST1996,1,1887.28,1887.28,1177.12,710.16
ORD00114,04-05-2024,Central,Grocery,Packaged Snacks,CUST0731,10,1722.32,17223.2,13183.61,4039.59
ORD00115,19-08-2023,South,Home & Kitchen,Mixer Grinder,CUST0568,8,4965.88,39727.04,29845.8,9881.24
ORD00116,10-02-2023,East,Clothing,T-Shirt,CUST0657,2,4992.72,9985.44,6163.02,3822.42
ORD00117,28-01-2023,South,Clothing,Jeans,CUST0404,6,501.8,3010.8,1885.75,1125.05
ORD00118,15-05-2023,International,Grocery,Soft Drink Pack,CUST1749,1,308.03,308.03,220.12,87.91
ORD00119,20-07-2023,International,Home & Kitchen,Curtains,CUST1630,6,3576.5,21459,13739.09,7719.91
ORD00120,02-02-2023,East,Home & Kitchen,LED Lamp,CUST0618,4,1034.67,4138.68,3076.78,1061.9
ORD00121,17-02-2023,West,Home & Kitchen,Mixer Grinder,CUST0596,5,7997.52,39987.6,31296.96,8690.64
ORD00122,17-05-2024,International,Clothing,Sneakers,CUST0648,10,737.47,7374.7,5954.47,1420.23
ORD00123,11-02-2024,East,Electronics,Smartwatch,CUST0146,7,46193.88,323357.16,247025.8,76331.36
ORD00124,27-07-2024,International,Clothing,Formal Shirt,CUST0761,6,736.56,4419.36,3154.97,1264.39
ORD00125,28-12-2024,Central,Clothing,Sneakers,CUST1554,1,1637.27,1637.27,1046.1,591.17
ORD00126,09-04-2023,International,Grocery,Spices Pack,CUST1426,9,1698.43,15285.87,10306.43,4979.44
ORD00127,14-11-2024,North,Electronics,Headphones,CUST0125,6,57310.24,343861.44,249583.75,94277.69
ORD00128,26-12-2024,East,Home & Kitchen,LED Lamp,CUST1538,6,4613.64,27681.84,24283.46,3398.38
ORD00129,30-06-2024,South,Grocery,Packaged Snacks,CUST1356,9,1942.88,17485.92,11554.35,5931.57
ORD00130,04-09-2024,East,Clothing,T-Shirt,CUST0480,10,3320.96,33209.6,24043.86,9165.74
ORD00131,06-04-2024,West,Electronics,Tablet,CUST1002,5,27870.93,139354.65,114227.98,25126.67
ORD00132,04-10-2024,International,Home & Kitchen,Bedsheet,CUST0712,6,8185.77,49114.62,39859.51,9255.11
ORD00133,05-01-2023,East,Home & Kitchen,Bedsheet,CUST1971,6,3517.02,21102.12,18774.09,2328.03
ORD00134,06-08-2023,Central,Clothing,T-Shirt,CUST1674,7,1696.08,11872.56,7803.48,4069.08
ORD00135,17-05-2024,East,Home & Kitchen,Bedsheet,CUST0715,9,6840.24,61562.16,37242.39,24319.77
ORD00136,02-02-2024,Central,Home & Kitchen,Curtains,CUST1422,5,4392.48,21962.4,15301.14,6661.26
ORD00137,28-01-2024,International,Electronics,Laptop,CUST1818,5,12475.49,62377.45,40227.7,22149.75
ORD00138,26-07-2023,South,Grocery,Rice Bag,CUST0815,4,227.23,908.92,694.91,214.01
ORD00139,15-01-2023,International,Electronics,Smartphone,CUST1054,10,48331.34,483313.4,420305.63,63007.77
ORD00140,07-07-2024,West,Grocery,Cooking Oil,CUST0056,4,1384.23,5536.92,4465.35,1071.57
ORD00141,05-04-2024,North,Grocery,Spices Pack,CUST1655,8,882.42,7059.36,4523.21,2536.15
ORD00142,21-11-2024,South,Grocery,Soft Drink Pack,CUST1962,2,1802.83,3605.66,2288.97,1316.69
ORD00143,28-07-2024,South,Home & Kitchen,LED Lamp,CUST0132,10,4579.88,45798.8,40002.27,5796.53
ORD00144,29-08-2023,North,Electronics,Smartphone,CUST0231,8,44066.25,352530,263087.1,89442.9
ORD00145,17-07-2024,East,Home & Kitchen,Bedsheet,CUST0395,2,9163.86,18327.72,16075.28,2252.44
ORD00146,06-04-2023,International,Clothing,Formal Shirt,CUST1176,1,4283.22,4283.22,3515.95,767.27
ORD00147,29-04-2024,East,Electronics,Tablet,CUST1526,10,33110.76,331107.6,297336.13,33771.47
ORD00148,11-02-2024,East,Grocery,Soft Drink Pack,CUST0982,9,1393.21,12538.89,10800.6,1738.29
ORD00149,19-08-2023,International,Home & Kitchen,Cookware Set,CUST0963,8,4605.73,36845.84,26686.1,10159.74
ORD00150,16-10-2024,West,Home & Kitchen,Bedsheet,CUST0933,6,6754.21,40525.26,33533.37,6991.89
ORD00151,20-06-2023,South,Electronics,Laptop,CUST1530,4,19165.38,76661.52,56834.43,19827.09
ORD00152,24-06-2024,Central,Electronics,Tablet,CUST1410,2,28910.82,57821.64,38735.97,19085.67
ORD00153,05-02-2023,North,Grocery,Spices Pack,CUST0908,8,498.14,3985.12,2679.23,1305.89
ORD00154,08-06-2024,South,Grocery,Packaged Snacks,CUST0533,3,172.55,517.65,372.29,145.36
ORD00155,09-06-2023,East,Clothing,Formal Shirt,CUST0965,10,3148.43,31484.3,19943.41,11540.89
ORD00156,29-11-2024,North,Grocery,Cooking Oil,CUST1991,4,1742.42,6969.68,4553.5,2416.18
ORD00157,31-08-2023,Central,Home & Kitchen,Curtains,CUST0448,5,1035.32,5176.6,3883.4,1293.2
ORD00158,27-03-2023,South,Clothing,T-Shirt,CUST1604,4,1382.13,5528.52,4899.25,629.27
ORD00159,31-07-2024,South,Clothing,T-Shirt,CUST0126,8,2570.83,20566.64,15904.3,4662.34
ORD00160,12-11-2024,West,Clothing,Jacket,CUST0555,9,3496.54,31468.86,22737.79,8731.07
ORD00161,10-07-2024,South,Electronics,Headphones,CUST0694,1,14417.61,14417.61,9700.31,4717.3
ORD00162,27-07-2024,South,Grocery,Soft Drink Pack,CUST0489,2,207.72,415.44,273.68,141.76
ORD00163,07-10-2024,Central,Clothing,T-Shirt,CUST0612,4,2835.72,11342.88,9046.2,2296.68
ORD00164,28-01-2023,Central,Electronics,Laptop,CUST0891,1,50029.03,50029.03,42749.69,7279.34
ORD00165,11-09-2024,North,Electronics,Tablet,CUST0446,6,6937.92,41627.52,29957.53,11669.99
ORD00166,09-07-2024,East,Clothing,T-Shirt,CUST1494,5,2072.16,10360.8,7928.06,2432.74
ORD00167,06-12-2023,Central,Clothing,T-Shirt,CUST1373,7,3485.82,24400.74,19813.84,4586.9
ORD00168,27-11-2023,North,Home & Kitchen,Curtains,CUST0508,6,2002.83,12016.98,7420.35,4596.63
ORD00169,01-10-2024,South,Clothing,T-Shirt,CUST0457,3,1561.76,4685.28,3304.38,1380.9
ORD00170,20-05-2024,North,Home & Kitchen,LED Lamp,CUST0986,5,5726.53,28632.65,23448.02,5184.63
ORD00171,14-12-2023,North,Clothing,Jeans,CUST1932,3,4789.54,14368.62,11572.28,2796.34
ORD00172,17-04-2024,North,Clothing,Jeans,CUST1776,9,1793.04,16137.36,9940.68,6196.68
ORD00173,19-08-2023,International,Grocery,Rice Bag,CUST0385,2,1026.3,2052.6,1378,674.6
ORD00174,09-07-2023,North,Clothing,Formal Shirt,CUST0712,6,2299.69,13798.14,11093.53,2704.61
ORD00175,13-08-2023,Central,Clothing,Jeans,CUST0929,9,4538.29,40844.61,27832.53,13012.08
ORD00176,20-01-2024,International,Home & Kitchen,Bedsheet,CUST1472,10,1461.39,14613.9,12338.85,2275.05
ORD00177,12-01-2024,East,Home & Kitchen,LED Lamp,CUST1652,7,6008.56,42059.92,25608.24,16451.68
ORD00178,10-10-2023,North,Grocery,Spices Pack,CUST1139,5,1707.63,8538.15,5610.45,2927.7
ORD00179,24-09-2024,West,Clothing,Sneakers,CUST0452,2,4946.53,9893.06,6770.75,3122.31
ORD00180,19-09-2024,South,Clothing,Jeans,CUST0654,2,3644.26,7288.52,6396.31,892.21
ORD00181,16-09-2023,South,Home & Kitchen,LED Lamp,CUST1143,4,4295.41,17181.64,14413.6,2768.04
ORD00182,25-12-2023,International,Electronics,Laptop,CUST1117,10,27650.34,276503.4,239242.78,37260.62
ORD00183,10-12-2024,South,Electronics,Headphones,CUST1934,2,24342.52,48685.04,35644.45,13040.59
ORD00184,31-03-2024,South,Electronics,Smartwatch,CUST0521,8,38198.72,305589.76,258763.82,46825.94
ORD00185,15-02-2024,International,Home & Kitchen,Bedsheet,CUST1609,10,7602.53,76025.3,65081.31,10943.99
ORD00186,10-10-2024,South,Home & Kitchen,Curtains,CUST0538,7,8339.1,58373.7,42028.31,16345.39
ORD00187,14-11-2023,North,Electronics,Tablet,CUST1457,7,27912.62,195388.34,175524.88,19863.46
ORD00188,07-11-2024,East,Electronics,Smartwatch,CUST1775,3,44418.97,133256.91,113984.17,19272.74
ORD00189,13-08-2023,International,Clothing,T-Shirt,CUST1898,7,4623,32361,28873.43,3487.57
ORD00190,22-08-2023,West,Home & Kitchen,Cookware Set,CUST0145,8,9271.59,74172.72,63784.77,10387.95
ORD00191,14-11-2024,International,Home & Kitchen,Cookware Set,CUST1092,5,7277.07,36385.35,30303.94,6081.41
ORD00192,25-10-2024,Central,Electronics,Smartphone,CUST0700,1,40029.62,40029.62,35352.29,4677.33
ORD00193,09-01-2024,West,Electronics,Headphones,CUST1902,1,34233.93,34233.93,24851.98,9381.95
ORD00194,02-11-2024,Central,Grocery,Packaged Snacks,CUST0131,4,448.08,1792.32,1496.59,295.73
ORD00195,30-08-2024,International,Home & Kitchen,LED Lamp,CUST0733,2,1937.39,3874.78,2572.34,1302.44
ORD00196,16-04-2024,Central,Grocery,Spices Pack,CUST1305,7,1022.85,7159.95,5870,1289.95
ORD00197,21-08-2023,West,Clothing,Jeans,CUST1813,3,1217.5,3652.5,3052.05,600.45
ORD00198,22-11-2024,North,Grocery,Spices Pack,CUST1676,4,1196.3,4785.2,3899.73,885.47
ORD00199,23-04-2023,International,Electronics,Laptop,CUST1590,9,40513.65,364622.85,311732.09,52890.76
ORD00200,11-05-2024,International,Home & Kitchen,Mixer Grinder,CUST0513,2,5635.66,11271.32,8160.44,3110.88
ORD00201,17-03-2024,South,Home & Kitchen,Mixer Grinder,CUST0640,8,1135.13,9081.04,6932.74,2148.3
ORD00202,17-07-2024,International,Grocery,Packaged Snacks,CUST0001,1,209.68,209.68,126.48,83.2
ORD00203,25-09-2023,International,Grocery,Soft Drink Pack,CUST1709,3,315.35,946.05,609.08,336.97
ORD00204,24-05-2024,North,Clothing,T-Shirt,CUST1966,4,1191.41,4765.64,3780.38,985.26
ORD00205,21-01-2024,South,Clothing,T-Shirt,CUST0432,6,4954.47,29726.82,22850.86,6875.96
ORD00206,22-01-2024,East,Electronics,Headphones,CUST0391,1,23947.23,23947.23,15786.01,8161.22
ORD00207,23-04-2023,Central,Electronics,Smartphone,CUST1290,8,21058.54,168468.32,113385.82,55082.5
ORD00208,04-09-2024,West,Electronics,Tablet,CUST0399,2,7874.66,15749.32,11075.31,4674.01
ORD00209,16-09-2024,East,Grocery,Soft Drink Pack,CUST0808,5,1307.11,6535.55,5325.98,1209.57
ORD00210,22-03-2023,South,Grocery,Cooking Oil,CUST1280,6,1339.16,8034.96,6290.69,1744.27
ORD00211,29-11-2024,North,Home & Kitchen,Curtains,CUST0395,8,2414.13,19313.04,11990.91,7322.13
ORD00212,23-04-2023,West,Electronics,Laptop,CUST0952,3,55558.28,166674.84,138003.72,28671.12
ORD00213,02-01-2023,Central,Grocery,Spices Pack,CUST0174,9,1620.94,14588.46,9902.62,4685.84
ORD00214,03-10-2024,International,Home & Kitchen,Cookware Set,CUST1069,5,2918.94,14594.7,11698.06,2896.64
ORD00215,08-08-2023,International,Electronics,Tablet,CUST0855,8,31721.74,253773.92,161656.23,92117.69
ORD00216,19-07-2024,East,Clothing,Formal Shirt,CUST1165,4,2562.76,10251.04,9219.54,1031.5
ORD00217,13-08-2023,Central,Clothing,Sneakers,CUST0539,9,2068.34,18615.06,11617.67,6997.39
ORD00218,20-01-2024,South,Grocery,Soft Drink Pack,CUST0745,8,1653.51,13228.08,10880.36,2347.72
ORD00219,07-02-2024,Central,Home & Kitchen,Curtains,CUST0721,5,1805.23,9026.15,6881.53,2144.62
ORD00220,29-09-2024,North,Clothing,Sneakers,CUST0050,3,2368.91,7106.73,4447.26,2659.47
ORD00221,10-05-2023,East,Home & Kitchen,Cookware Set,CUST1085,1,4737.89,4737.89,2880.84,1857.05
ORD00222,22-02-2023,East,Home & Kitchen,Mixer Grinder,CUST0243,5,5112.28,25561.4,18117.91,7443.49
ORD00223,14-11-2024,North,Clothing,T-Shirt,CUST1293,5,4376.07,21880.35,18394.09,3486.26
ORD00224,30-12-2024,Central,Home & Kitchen,Curtains,CUST1164,4,2807.14,11228.56,6875.76,4352.8
ORD00225,02-11-2024,North,Clothing,Jacket,CUST1181,10,963.15,9631.5,7814.22,1817.28
ORD00226,10-12-2024,West,Grocery,Rice Bag,CUST0597,10,1273.84,12738.4,10147.57,2590.83
ORD00227,20-02-2024,North,Electronics,Smartwatch,CUST1620,8,14560.9,116487.2,79171.84,37315.36
ORD00228,04-09-2023,Central,Electronics,Smartwatch,CUST0276,3,9121.26,27363.78,17054.41,10309.37
ORD00229,14-03-2024,North,Grocery,Packaged Snacks,CUST1055,10,910.63,9106.3,7964.34,1141.96
ORD00230,22-07-2023,South,Clothing,T-Shirt,CUST0008,9,1488.41,13395.69,9244.43,4151.26
ORD00231,03-07-2023,International,Clothing,T-Shirt,CUST1816,3,2125.47,6376.41,4038.91,2337.5
ORD00232,03-05-2023,North,Clothing,Sneakers,CUST0715,4,1668.7,6674.8,5369.58,1305.22
ORD00233,05-02-2024,International,Clothing,Jacket,CUST1959,6,916.86,5501.16,3658.3,1842.86
ORD00234,21-10-2023,North,Grocery,Packaged Snacks,CUST0033,9,1164.66,10481.94,7784.82,2697.12
ORD00235,07-10-2023,Central,Electronics,Laptop,CUST0810,10,6486.01,64860.1,39896.85,24963.25
ORD00236,01-09-2024,West,Home & Kitchen,Cookware Set,CUST1679,2,9690.65,19381.3,17402.38,1978.92
ORD00237,17-07-2023,West,Home & Kitchen,Cookware Set,CUST1476,2,3940.24,7880.48,5786.53,2093.95
ORD00238,25-05-2024,International,Electronics,Tablet,CUST1473,2,43233.66,86467.32,77797.5,8669.82
ORD00239,24-05-2023,Central,Grocery,Rice Bag,CUST0928,5,1639.69,8198.45,5867.65,2330.8
ORD00240,31-08-2024,Central,Home & Kitchen,Cookware Set,CUST1931,6,3367.76,20206.56,14232.61,5973.95
ORD00241,20-07-2023,Central,Electronics,Smartwatch,CUST0862,3,46180.63,138541.89,121137.11,17404.78
ORD00242,04-05-2023,South,Grocery,Soft Drink Pack,CUST0037,3,1681.6,5044.8,3525.51,1519.29
ORD00243,06-07-2023,East,Home & Kitchen,Bedsheet,CUST1683,2,3020.12,6040.24,4406.97,1633.27
ORD00244,22-11-2023,North,Clothing,Sneakers,CUST1971,6,4966.23,29797.38,18576.67,11220.71
ORD00245,08-04-2024,Central,Clothing,Jeans,CUST1764,1,593.1,593.1,525.87,67.23
ORD00246,15-12-2023,Central,Grocery,Packaged Snacks,CUST0034,9,512.3,4610.7,2884.2,1726.5
ORD00247,21-10-2024,Central,Clothing,Sneakers,CUST0455,10,4010.09,40100.9,33338.1,6762.8
ORD00248,07-02-2024,West,Grocery,Spices Pack,CUST0444,4,468.85,1875.4,1428.28,447.12
ORD00249,12-12-2023,Central,Electronics,Smartphone,CUST1261,2,43404.29,86808.58,53684.3,33124.28
ORD00250,25-05-2024,North,Electronics,Smartphone,CUST0212,6,52054.17,312325.02,187554.66,124770.36
